date,loading_port,discharge_port,cargo_type,vessel_class,quantity_mt,distance_nm,sea_days,port_days,total_voyage_days,bdi,bunker_price,iron_ore_price,coking_coal_price,thermal_coal_price,steel_hrc_price,port_congestion,month,quarter,day_of_year,is_monsoon,freight_rate
2023-06-01,Newcastle,Haldia,Thermal Coal,Handysize,28651,5900,17.9,6.0,23.9,899.4,550.0,99.07,192.51,90.06,510.01,38.0,6,2,152,1,11.08
2023-06-01,Newcastle,Haldia,Coking Coal,Panamax,68878,5900,17.1,10.1,27.2,899.4,550.0,99.07,192.51,90.06,510.01,38.0,6,2,152,1,19.57
2023-06-01,Newcastle,Visakhapatnam,Thermal Coal,Capesize,186969,5650,16.8,11.4,28.2,899.4,550.0,99.07,192.51,90.06,510.01,40.5,6,2,152,1,20.41
2023-06-01,Newcastle,Visakhapatnam,Coking Coal,Panamax,57540,5650,16.5,7.6,24.1,899.4,550.0,99.07,192.51,90.06,510.01,40.5,6,2,152,1,18.99
2023-06-01,Newcastle,Visakhapatnam,Thermal Coal,Handysize,16817,5650,17.7,6.8,24.5,899.4,550.0,99.07,192.51,90.06,510.01,40.5,6,2,152,1,11.33
2023-06-01,Port Hedland,Dhamra,Iron Ore,Handysize,12848,4300,13.8,5.2,19.5,899.4,550.0,99.07,192.51,90.06,510.01,48.7,6,2,152,1,9.67
2023-06-01,Port Hedland,Paradip,Iron Ore,Handysize,29220,4250,13.4,5.4,19.3,899.4,550.0,99.07,192.51,90.06,510.01,50.1,6,2,152,1,9.39
2023-06-01,Port Hedland,Paradip,Iron Ore,Panamax,58459,4250,12.9,7.8,21.1,899.4,550.0,99.07,192.51,90.06,510.01,50.1,6,2,152,1,16.63
2023-06-01,Port Hedland,Visakhapatnam,Iron Ore,Handysize,20208,4520,13.7,5.2,19.0,899.4,550.0,99.07,192.51,90.06,510.01,40.5,6,2,152,1,9.56
2023-06-01,Port Hedland,Visakhapatnam,Iron Ore,Capesize,151939,4520,13.0,9.6,22.7,899.4,550.0,99.07,192.51,90.06,510.01,40.5,6,2,152,1,18.97
2023-06-01,Richards Bay,Gangavaram,Thermal Coal,Capesize,157833,4650,13.5,8.0,21.4,899.4,550.0,99.07,192.51,90.06,510.01,28.4,6,2,152,1,19.57
2023-06-01,Richards Bay,Gangavaram,Thermal Coal,Supramax,56736,4650,14.3,5.6,19.9,899.4,550.0,99.07,192.51,90.06,510.01,28.4,6,2,152,1,13.57
2023-06-01,Richards Bay,Gangavaram,Chrome Ore,Supramax,43762,4650,13.4,5.9,19.3,899.4,550.0,99.07,192.51,90.06,510.01,28.4,6,2,152,1,16.0
2023-06-01,Richards Bay,Haldia,Thermal Coal,Handysize,27439,5100,16.3,5.9,22.2,899.4,550.0,99.07,192.51,90.06,510.01,38.0,6,2,152,1,10.14
2023-06-01,Richards Bay,Haldia,Chrome Ore,Panamax,73447,5100,15.3,8.7,24.0,899.4,550.0,99.07,192.51,90.06,510.01,38.0,6,2,152,1,19.7
2023-06-01,Richards Bay,Paradip,Chrome Ore,Supramax,60947,4800,14.6,5.7,21.2,899.4,550.0,99.07,192.51,90.06,510.01,50.1,6,2,152,1,15.63
2023-06-01,Richards Bay,Paradip,Thermal Coal,Supramax,59152,4800,14.0,5.0,19.9,899.4,550.0,99.07,192.51,90.06,510.01,50.1,6,2,152,1,13.99
2023-06-01,Richards Bay,Visakhapatnam,Chrome Ore,Supramax,47068,4600,13.7,6.0,19.8,899.4,550.0,99.07,192.51,90.06,510.01,40.5,6,2,152,1,16.18
2023-06-01,Richards Bay,Visakhapatnam,Thermal Coal,Supramax,51631,4600,13.6,6.1,19.7,899.4,550.0,99.07,192.51,90.06,510.01,40.5,6,2,152,1,13.65
2023-06-01,Saldanha Bay,Visakhapatnam,Manganese Ore,Supramax,61253,5400,16.2,6.6,22.8,899.4,550.0,99.07,192.51,90.06,510.01,40.5,6,2,152,1,15.61
2023-06-01,Saldanha Bay,Visakhapatnam,Iron Ore,Capesize,161760,5400,15.8,11.3,27.1,899.4,550.0,99.07,192.51,90.06,510.01,40.5,6,2,152,1,19.61
2023-06-01,Saldanha Bay,Visakhapatnam,Iron Ore,Handysize,14798,5400,17.3,4.9,22.2,899.4,550.0,99.07,192.51,90.06,510.01,40.5,6,2,152,1,9.7
2023-06-01,Samarinda,Haldia,Thermal Coal,Panamax,55432,3250,9.8,10.5,20.4,899.4,550.0,99.07,192.51,90.06,510.01,38.0,6,2,152,1,15.95
2023-06-01,Samarinda,Paradip,Thermal Coal,Handysize,13828,3100,9.3,6.2,15.9,899.4,550.0,99.07,192.51,90.06,510.01,50.1,6,2,152,1,9.58
2023-06-01,Samarinda,Paradip,Thermal Coal,Supramax,59601,3100,9.3,7.2,16.9,899.4,550.0,99.07,192.51,90.06,510.01,50.1,6,2,152,1,12.43
2023-06-01,Tubarao,Paradip,Iron Ore,Panamax,57973,9200,27.4,7.0,34.6,899.4,550.0,99.07,192.51,90.06,510.01,50.1,6,2,152,1,20.11
2023-06-01,Vostochny,Haldia,Coking Coal,Supramax,48807,4700,13.8,9.3,23.2,899.4,550.0,99.07,192.51,90.06,510.01,38.0,6,2,152,1,14.56
2023-06-01,Vostochny,Haldia,Coking Coal,Panamax,68843,4700,14.2,8.0,22.2,899.4,550.0,99.07,192.51,90.06,510.01,38.0,6,2,152,1,18.13
2023-06-01,Vostochny,Haldia,Thermal Coal,Supramax,57263,4700,13.9,6.8,20.7,899.4,550.0,99.07,192.51,90.06,510.01,38.0,6,2,152,1,14.12
2023-06-01,Vostochny,Paradip,Thermal Coal,Handysize,28014,4600,13.9,5.8,20.1,899.4,550.0,99.07,192.51,90.06,510.01,50.1,6,2,152,1,9.64
2023-06-01,Vostochny,Paradip,Coking Coal,Handysize,24168,4600,14.1,4.8,19.5,899.4,550.0,99.07,192.51,90.06,510.01,50.1,6,2,152,1,11.28
2023-06-01,Vostochny,Visakhapatnam,Coking Coal,Supramax,56794,4800,14.6,5.1,19.8,899.4,550.0,99.07,192.51,90.06,510.01,40.5,6,2,152,1,14.6
2023-06-01,Vostochny,Visakhapatnam,Thermal Coal,Handysize,25019,4800,14.9,5.7,20.6,899.4,550.0,99.07,192.51,90.06,510.01,40.5,6,2,152,1,9.97
2023-06-01,Vostochny,Visakhapatnam,Coking Coal,Capesize,190141,4800,13.9,11.0,24.9,899.4,550.0,99.07,192.51,90.06,510.01,40.5,6,2,152,1,21.23
2023-06-02,Dampier,Paradip,Iron Ore,Handysize,20373,4180,12.9,4.7,19.2,902.9,554.8,98.67,196.6,89.84,514.27,57.6,6,2,153,1,9.68
2023-06-02,Hampton Roads,Haldia,Thermal Coal,Supramax,58360,10000,29.8,7.1,37.0,902.9,554.8,98.67,196.6,89.84,514.27,34.2,6,2,153,1,18.01
2023-06-02,Hampton Roads,Haldia,Coking Coal,Panamax,55394,10000,30.1,10.0,40.1,902.9,554.8,98.67,196.6,89.84,514.27,34.2,6,2,153,1,21.68
2023-06-02,Hampton Roads,Paradip,Coking Coal,Panamax,72295,9800,29.4,5.7,36.7,902.9,554.8,98.67,196.6,89.84,514.27,57.6,6,2,153,1,21.41
2023-06-02,Hampton Roads,Paradip,Coking Coal,Capesize,154803,9800,28.6,8.1,38.4,902.9,554.8,98.67,196.6,89.84,514.27,57.6,6,2,153,1,25.25
2023-06-02,Hampton Roads,Visakhapatnam,Coking Coal,Supramax,53383,9600,29.3,5.9,35.1,902.9,554.8,98.67,196.6,89.84,514.27,36.0,6,2,153,1,18.28
2023-06-02,Hampton Roads,Visakhapatnam,Coking Coal,Capesize,178474,9600,27.9,11.3,39.3,902.9,554.8,98.67,196.6,89.84,514.27,36.0,6,2,153,1,25.92
2023-06-02,Hampton Roads,Visakhapatnam,Coking Coal,Handysize,29844,9600,29.4,4.9,34.2,902.9,554.8,98.67,196.6,89.84,514.27,36.0,6,2,153,1,14.24
2023-06-02,Hay Point,Paradip,Coking Coal,Panamax,63640,5400,16.1,5.8,22.5,902.9,554.8,98.67,196.6,89.84,514.27,57.6,6,2,153,1,18.67
2023-06-02,Hay Point,Paradip,Coking Coal,Capesize,147144,5400,16.0,9.9,27.0,902.9,554.8,98.67,196.6,89.84,514.27,57.6,6,2,153,1,23.2
2023-06-02,Hay Point,Paradip,Coking Coal,Handysize,29959,5400,17.5,5.9,24.3,902.9,554.8,98.67,196.6,89.84,514.27,57.6,6,2,153,1,11.67
2023-06-02,Muara Berau,Haldia,Thermal Coal,Handysize,31173,3350,10.2,6.4,16.7,902.9,554.8,98.67,196.6,89.84,514.27,34.2,6,2,153,1,9.89
2023-06-02,Muara Berau,Paradip,Thermal Coal,Supramax,61123,3200,9.6,7.4,18.2,902.9,554.8,98.67,196.6,89.84,514.27,57.6,6,2,153,1,13.53
2023-06-02,Muara Berau,Paradip,Thermal Coal,Panamax,55605,3200,9.7,6.3,16.8,902.9,554.8,98.67,196.6,89.84,514.27,57.6,6,2,153,1,16.37
2023-06-02,Muara Berau,Visakhapatnam,Thermal Coal,Panamax,79817,3000,8.9,8.6,17.5,902.9,554.8,98.67,196.6,89.84,514.27,36.0,6,2,153,1,16.44
2023-06-02,Nacala,Paradip,Coking Coal,Panamax,73387,3900,11.9,7.0,20.6,902.9,554.8,98.67,196.6,89.84,514.27,57.6,6,2,153,1,17.08
2023-06-02,Nacala,Paradip,Thermal Coal,Supramax,52434,3900,11.7,7.1,20.0,902.9,554.8,98.67,196.6,89.84,514.27,57.6,6,2,153,1,14.19
2023-06-02,Nacala,Visakhapatnam,Coking Coal,Handysize,30716,3700,11.5,5.9,17.5,902.9,554.8,98.67,196.6,89.84,514.27,36.0,6,2,153,1,10.72
2023-06-02,Nacala,Visakhapatnam,Thermal Coal,Panamax,59252,3700,11.0,6.7,17.7,902.9,554.8,98.67,196.6,89.84,514.27,36.0,6,2,153,1,15.93
2023-06-02,Newcastle,Haldia,Thermal Coal,Handysize,32396,5900,18.4,7.2,25.6,902.9,554.8,98.67,196.6,89.84,514.27,34.2,6,2,153,1,11.08
2023-06-02,Newcastle,Paradip,Thermal Coal,Capesize,148380,5800,17.5,10.4,29.3,902.9,554.8,98.67,196.6,89.84,514.27,57.6,6,2,153,1,21.89
2023-06-02,Newcastle,Paradip,Coking Coal,Handysize,18745,5800,18.2,6.3,25.8,902.9,554.8,98.67,196.6,89.84,514.27,57.6,6,2,153,1,11.72
2023-06-02,Newcastle,Visakhapatnam,Coking Coal,Handysize,12836,5650,17.7,7.1,24.7,902.9,554.8,98.67,196.6,89.84,514.27,36.0,6,2,153,1,12.17
2023-06-02,Newcastle,Visakhapatnam,Coking Coal,Supramax,52082,5650,16.4,7.0,23.4,902.9,554.8,98.67,196.6,89.84,514.27,36.0,6,2,153,1,15.65
2023-06-02,Newcastle,Visakhapatnam,Thermal Coal,Handysize,13091,5650,17.6,5.6,23.2,902.9,554.8,98.67,196.6,89.84,514.27,36.0,6,2,153,1,10.87
2023-06-02,Port Hedland,Dhamra,Iron Ore,Capesize,155524,4300,11.7,7.7,20.1,902.9,554.8,98.67,196.6,89.84,514.27,52.0,6,2,153,1,20.33
2023-06-02,Port Hedland,Gangavaram,Iron Ore,Capesize,196494,4550,13.2,7.4,20.7,902.9,554.8,98.67,196.6,89.84,514.27,31.8,6,2,153,1,20.27
2023-06-02,Port Hedland,Gangavaram,Iron Ore,Handysize,30505,4550,14.3,4.6,18.8,902.9,554.8,98.67,196.6,89.84,514.27,31.8,6,2,153,1,9.49
2023-06-02,Port Hedland,Paradip,Iron Ore,Capesize,181565,4250,12.1,11.5,24.2,902.9,554.8,98.67,196.6,89.84,514.27,57.6,6,2,153,1,20.27
2023-06-02,Richards Bay,Gangavaram,Thermal Coal,Capesize,134239,4650,13.9,9.3,23.2,902.9,554.8,98.67,196.6,89.84,514.27,31.8,6,2,153,1,21.01
2023-06-02,Richards Bay,Gangavaram,Chrome Ore,Supramax,57579,4650,13.9,5.4,19.4,902.9,554.8,98.67,196.6,89.84,514.27,31.8,6,2,153,1,16.48
2023-06-02,Richards Bay,Haldia,Thermal Coal,Panamax,78843,5100,14.8,10.3,25.1,902.9,554.8,98.67,196.6,89.84,514.27,34.2,6,2,153,1,17.02
2023-06-02,Richards Bay,Paradip,Chrome Ore,Supramax,49578,4800,13.9,7.4,21.7,902.9,554.8,98.67,196.6,89.84,514.27,57.6,6,2,153,1,16.13
2023-06-02,Richards Bay,Visakhapatnam,Thermal Coal,Supramax,49587,4600,13.8,5.7,19.5,902.9,554.8,98.67,196.6,89.84,514.27,36.0,6,2,153,1,14.02
2023-06-02,Richards Bay,Visakhapatnam,Chrome Ore,Panamax,61323,4600,13.7,8.1,21.8,902.9,554.8,98.67,196.6,89.84,514.27,36.0,6,2,153,1,19.1
2023-06-02,Saldanha Bay,Paradip,Manganese Ore,Panamax,62663,5600,16.7,4.9,23.4,902.9,554.8,98.67,196.6,89.84,514.27,57.6,6,2,153,1,19.09
2023-06-02,Saldanha Bay,Paradip,Manganese Ore,Capesize,132969,5600,16.2,8.4,25.6,902.9,554.8,98.67,196.6,89.84,514.27,57.6,6,2,153,1,23.26
2023-06-02,Saldanha Bay,Paradip,Manganese Ore,Supramax,43112,5600,16.2,7.0,24.9,902.9,554.8,98.67,196.6,89.84,514.27,57.6,6,2,153,1,16.51
2023-06-02,Saldanha Bay,Visakhapatnam,Iron Ore,Capesize,137961,5400,15.6,8.8,24.4,902.9,554.8,98.67,196.6,89.84,514.27,36.0,6,2,153,1,21.05
2023-06-02,Saldanha Bay,Visakhapatnam,Iron Ore,Panamax,70453,5400,15.7,6.2,21.9,902.9,554.8,98.67,196.6,89.84,514.27,36.0,6,2,153,1,17.11
2023-06-02,Saldanha Bay,Visakhapatnam,Manganese Ore,Supramax,42548,5400,15.6,5.4,21.0,902.9,554.8,98.67,196.6,89.84,514.27,36.0,6,2,153,1,16.7
2023-06-02,Samarinda,Paradip,Thermal Coal,Panamax,65649,3100,9.1,6.5,17.1,902.9,554.8,98.67,196.6,89.84,514.27,57.6,6,2,153,1,16.41
2023-06-02,Tubarao,Paradip,Iron Ore,Panamax,61448,9200,27.1,5.7,33.5,902.9,554.8,98.67,196.6,89.84,514.27,57.6,6,2,153,1,19.36
2023-06-02,Vostochny,Haldia,Thermal Coal,Panamax,64696,4700,13.6,7.4,21.0,902.9,554.8,98.67,196.6,89.84,514.27,34.2,6,2,153,1,17.39
2023-06-02,Vostochny,Haldia,Coking Coal,Panamax,64555,4700,13.9,9.6,23.5,902.9,554.8,98.67,196.6,89.84,514.27,34.2,6,2,153,1,18.58
2023-06-02,Vostochny,Haldia,Coking Coal,Handysize,24260,4700,14.4,5.1,19.6,902.9,554.8,98.67,196.6,89.84,514.27,34.2,6,2,153,1,11.24
2023-06-02,Vostochny,Paradip,Thermal Coal,Panamax,69508,4600,13.4,7.6,22.6,902.9,554.8,98.67,196.6,89.84,514.27,57.6,6,2,153,1,16.96
2023-06-02,Vostochny,Visakhapatnam,Coking Coal,Handysize,24283,4800,13.7,6.9,20.7,902.9,554.8,98.67,196.6,89.84,514.27,36.0,6,2,153,1,11.73
2023-06-02,Vostochny,Visakhapatnam,Thermal Coal,Handysize,17650,4800,14.2,4.3,18.4,902.9,554.8,98.67,196.6,89.84,514.27,36.0,6,2,153,1,9.77
2023-06-02,Vostochny,Visakhapatnam,Thermal Coal,Supramax,50927,4800,14.3,4.8,19.1,902.9,554.8,98.67,196.6,89.84,514.27,36.0,6,2,153,1,14.58
2023-06-02,Vostochny,Visakhapatnam,Thermal Coal,Capesize,183497,4800,13.8,10.0,23.8,902.9,554.8,98.67,196.6,89.84,514.27,36.0,6,2,153,1,21.3
2023-06-02,Vostochny,Visakhapatnam,Coking Coal,Panamax,60994,4800,14.3,5.5,19.8,902.9,554.8,98.67,196.6,89.84,514.27,36.0,6,2,153,1,18.07
2023-06-03,Beira,Paradip,Coking Coal,Panamax,64404,4200,12.6,7.5,20.9,912.8,557.5,99.6,195.78,89.03,506.74,49.8,6,2,154,1,17.7
2023-06-03,Dampier,Paradip,Iron Ore,Capesize,133253,4180,12.2,9.5,22.6,912.8,557.5,99.6,195.78,89.03,506.74,49.8,6,2,154,1,22.17
2023-06-03,Dampier,Paradip,Iron Ore,Supramax,53244,4180,12.4,4.8,17.9,912.8,557.5,99.6,195.78,89.03,506.74,49.8,6,2,154,1,12.48
2023-06-03,Dampier,Visakhapatnam,Iron Ore,Capesize,156632,4450,12.8,8.8,21.7,912.8,557.5,99.6,195.78,89.03,506.74,40.7,6,2,154,1,21.97
2023-06-03,Hampton Roads,Haldia,Thermal Coal,Supramax,57644,10000,29.9,7.8,37.7,912.8,557.5,99.6,195.78,89.03,506.74,34.0,6,2,154,1,16.27
2023-06-03,Hampton Roads,Paradip,Coking Coal,Supramax,51884,9800,29.5,7.7,38.1,912.8,557.5,99.6,195.78,89.03,506.74,49.8,6,2,154,1,16.88
2023-06-03,Hampton Roads,Paradip,Thermal Coal,Panamax,60904,9800,30.0,7.2,38.0,912.8,557.5,99.6,195.78,89.03,506.74,49.8,6,2,154,1,20.05
2023-06-03,Hampton Roads,Paradip,Coking Coal,Handysize,23084,9800,30.5,4.7,35.5,912.8,557.5,99.6,195.78,89.03,506.74,49.8,6,2,154,1,15.8
2023-06-03,Hampton Roads,Visakhapatnam,Thermal Coal,Handysize,15260,9600,29.4,7.2,36.6,912.8,557.5,99.6,195.78,89.03,506.74,40.7,6,2,154,1,14.42
2023-06-03,Hampton Roads,Visakhapatnam,Coking Coal,Handysize,23949,9600,29.5,6.3,35.9,912.8,557.5,99.6,195.78,89.03,506.74,40.7,6,2,154,1,15.44
2023-06-03,Hay Point,Paradip,Coking Coal,Panamax,70399,5400,16.1,6.4,23.4,912.8,557.5,99.6,195.78,89.03,506.74,49.8,6,2,154,1,19.06
2023-06-03,Hay Point,Paradip,Coking Coal,Supramax,52737,5400,16.0,6.5,22.8,912.8,557.5,99.6,195.78,89.03,506.74,49.8,6,2,154,1,14.96
2023-06-03,Muara Berau,Haldia,Thermal Coal,Supramax,57624,3350,10.0,7.5,17.5,912.8,557.5,99.6,195.78,89.03,506.74,34.0,6,2,154,1,12.94
2023-06-03,Muara Berau,Visakhapatnam,Thermal Coal,Handysize,31225,3000,9.3,6.2,15.6,912.8,557.5,99.6,195.78,89.03,506.74,40.7,6,2,154,1,10.62
2023-06-03,Nacala,Paradip,Coking Coal,Panamax,69269,3900,11.9,6.2,18.5,912.8,557.5,99.6,195.78,89.03,506.74,49.8,6,2,154,1,17.54
2023-06-03,Nacala,Paradip,Thermal Coal,Capesize,192185,3900,11.3,8.9,20.9,912.8,557.5,99.6,195.78,89.03,506.74,49.8,6,2,154,1,22.6
2023-06-03,Nacala,Paradip,Thermal Coal,Panamax,70232,3900,11.6,7.2,19.8,912.8,557.5,99.6,195.78,89.03,506.74,49.8,6,2,154,1,16.81
2023-06-03,Nacala,Paradip,Thermal Coal,Handysize,15714,3900,12.3,6.1,18.9,912.8,557.5,99.6,195.78,89.03,506.74,49.8,6,2,154,1,10.96
2023-06-03,Nacala,Visakhapatnam,Thermal Coal,Capesize,182254,3700,10.3,11.0,21.4,912.8,557.5,99.6,195.78,89.03,506.74,40.7,6,2,154,1,21.99
2023-06-03,Newcastle,Haldia,Coking Coal,Handysize,30289,5900,17.6,5.7,23.3,912.8,557.5,99.6,195.78,89.03,506.74,34.0,6,2,154,1,13.27
2023-06-03,Newcastle,Haldia,Thermal Coal,Supramax,45028,5900,18.0,7.2,25.1,912.8,557.5,99.6,195.78,89.03,506.74,34.0,6,2,154,1,13.66
2023-06-03,Newcastle,Haldia,Thermal Coal,Handysize,27763,5900,18.5,7.5,26.0,912.8,557.5,99.6,195.78,89.03,506.74,34.0,6,2,154,1,12.65
2023-06-03,Newcastle,Paradip,Coking Coal,Capesize,152058,5800,16.6,6.9,24.4,912.8,557.5,99.6,195.78,89.03,506.74,49.8,6,2,154,1,24.96
2023-06-03,Newcastle,Paradip,Thermal Coal,Panamax,74528,5800,17.2,8.0,25.9,912.8,557.5,99.6,195.78,89.03,506.74,49.8,6,2,154,1,17.51
2023-06-03,Newcastle,Paradip,Coking Coal,Supramax,54035,5800,17.4,6.2,24.6,912.8,557.5,99.6,195.78,89.03,506.74,49.8,6,2,154,1,14.62
2023-06-03,Port Hedland,Dhamra,Iron Ore,Capesize,152304,4300,12.3,8.0,20.8,912.8,557.5,99.6,195.78,89.03,506.74,49.3,6,2,154,1,22.29
2023-06-03,Port Hedland,Dhamra,Iron Ore,Handysize,16533,4300,13.7,5.6,20.0,912.8,557.5,99.6,195.78,89.03,506.74,49.3,6,2,154,1,11.51
2023-06-03,Port Hedland,Gangavaram,Iron Ore,Supramax,48174,4550,13.8,5.5,19.3,912.8,557.5,99.6,195.78,89.03,506.74,33.7,6,2,154,1,12.63
2023-06-03,Port Hedland,Paradip,Iron Ore,Capesize,185940,4250,12.2,10.3,23.5,912.8,557.5,99.6,195.78,89.03,506.74,49.8,6,2,154,1,22.27
2023-06-03,Port Hedland,Visakhapatnam,Iron Ore,Capesize,138546,4520,13.0,7.8,20.9,912.8,557.5,99.6,195.78,89.03,506.74,40.7,6,2,154,1,23.02
2023-06-03,Richards Bay,Gangavaram,Thermal Coal,Capesize,147771,4650,13.3,8.9,22.1,912.8,557.5,99.6,195.78,89.03,506.74,33.7,6,2,154,1,22.87
2023-06-03,Richards Bay,Gangavaram,Chrome Ore,Handysize,23453,4650,14.4,3.6,18.0,912.8,557.5,99.6,195.78,89.03,506.74,33.7,6,2,154,1,13.65
2023-06-03,Richards Bay,Haldia,Chrome Ore,Panamax,75493,5100,15.3,9.7,25.0,912.8,557.5,99.6,195.78,89.03,506.74,34.0,6,2,154,1,18.67
2023-06-03,Richards Bay,Haldia,Thermal Coal,Panamax,59748,5100,14.9,7.7,22.6,912.8,557.5,99.6,195.78,89.03,506.74,34.0,6,2,154,1,17.01
2023-06-03,Richards Bay,Paradip,Chrome Ore,Supramax,61301,4800,14.1,5.9,20.9,912.8,557.5,99.6,195.78,89.03,506.74,49.8,6,2,154,1,15.56
2023-06-03,Richards Bay,Visakhapatnam,Chrome Ore,Capesize,143720,4600,13.1,9.4,22.5,912.8,557.5,99.6,195.78,89.03,506.74,40.7,6,2,154,1,24.63
2023-06-03,Richards Bay,Visakhapatnam,Thermal Coal,Handysize,15271,4600,14.2,4.3,18.6,912.8,557.5,99.6,195.78,89.03,506.74,40.7,6,2,154,1,11.28
2023-06-03,Richards Bay,Visakhapatnam,Thermal Coal,Capesize,191269,4600,13.4,11.3,24.8,912.8,557.5,99.6,195.78,89.03,506.74,40.7,6,2,154,1,23.24
2023-06-03,Richards Bay,Visakhapatnam,Thermal Coal,Supramax,59332,4600,13.3,7.7,21.0,912.8,557.5,99.6,195.78,89.03,506.74,40.7,6,2,154,1,13.3
2023-06-03,Richards Bay,Visakhapatnam,Chrome Ore,Handysize,21539,4600,14.3,3.8,18.2,912.8,557.5,99.6,195.78,89.03,506.74,40.7,6,2,154,1,13.69
2023-06-03,Richards Bay,Visakhapatnam,Thermal Coal,Panamax,79205,4600,13.7,8.2,21.9,912.8,557.5,99.6,195.78,89.03,506.74,40.7,6,2,154,1,16.44
2023-06-03,Saldanha Bay,Paradip,Manganese Ore,Supramax,48945,5600,16.8,7.6,25.3,912.8,557.5,99.6,195.78,89.03,506.74,49.8,6,2,154,1,14.6
2023-06-03,Saldanha Bay,Paradip,Manganese Ore,Capesize,151228,5600,16.1,10.1,26.9,912.8,557.5,99.6,195.78,89.03,506.74,49.8,6,2,154,1,24.56
2023-06-03,Saldanha Bay,Paradip,Iron Ore,Capesize,182039,5600,16.1,9.6,26.1,912.8,557.5,99.6,195.78,89.03,506.74,49.8,6,2,154,1,23.84
2023-06-03,Saldanha Bay,Visakhapatnam,Manganese Ore,Handysize,20169,5400,16.6,5.7,22.3,912.8,557.5,99.6,195.78,89.03,506.74,40.7,6,2,154,1,13.87
2023-06-03,Saldanha Bay,Visakhapatnam,Manganese Ore,Supramax,54095,5400,16.4,4.6,21.0,912.8,557.5,99.6,195.78,89.03,506.74,40.7,6,2,154,1,15.01
2023-06-03,Saldanha Bay,Visakhapatnam,Manganese Ore,Panamax,69009,5400,15.7,7.4,23.2,912.8,557.5,99.6,195.78,89.03,506.74,40.7,6,2,154,1,19.31
2023-06-03,Samarinda,Haldia,Thermal Coal,Supramax,51323,3250,9.6,7.9,17.5,912.8,557.5,99.6,195.78,89.03,506.74,34.0,6,2,154,1,12.23
